,label
95370,0
95387,2
95395,0
95422,1
95430,1
95438,1
95445,0
95447,1
95459,1
95483,2
95489,1
95491,0
95492,1
95493,0
95504,1
95509,0
95510,0
95529,1
95535,1
95541,2
95543,0
95554,1
95566,2
95584,0
95592,1
95594,1
95610,0
95633,1
95641,2
95651,1
95656,2
95658,1
95660,0
95690,1
77018,2
77024,1
77033,2
77045,1
77049,1
77056,0
77060,1
77063,1
77068,1
77078,0
77082,0
77085,2
77118,0
77125,1
77130,0
77137,2
77141,2
77151,1
77154,2
77158,1
77163,2
77167,0
77172,1
77176,0
77180,1
77184,1
77188,1
77224,1
77229,1
77234,0
77237,0
77240,1
77244,1
77246,0
77250,2
77253,0
77257,1
77261,0
77273,1
77277,0
77289,1
77315,0
77336,1
77345,1
77355,1
77358,1
77366,0
77372,0
77381,1
77384,2
77387,1
77391,1
77394,0
77425,1
77440,0
77443,1
77454,1
77462,1
77465,2
77475,1
77478,0
77482,1
77522,1
77526,2
77534,2
78009,1
78034,0
78049,1
78057,1
78147,0
91035,1
91129,1
91135,1
91148,0
78344,1
91408,1
91435,0
91469,1
91494,1
91514,0
91547,0
91553,0
91659,0
94070,1
95011,2
95026,0
95046,2
95056,2
95088,0
95282,1
95301,1
95308,1
95379,1
95409,2
95436,0
78443,2
78464,0
95625,1
95652,2
95675,2
95682,2
78557,1
78397,1
77046,1
77225,2
77472,2
78505,2
