code,name,party
77292,Messy,DVG
77293,Misy-sur-Yonne,NA
77294,Mitry-Mory,PCF
77295,Moisenay,DVG
77296,Moissy-Cramayel,PS
77297,Mondreville,NA
77298,Mons-en-Montois,NA
77299,Montarlot,NA
77300,Montceaux-lès-Meaux,NA
77301,Montceaux-lès-Provins,UMP-LR
77302,Montcourt-Fromonville,PS
77303,Montdauphin,NA
77304,Montenils,NA
77305,Montereau-Fault-Yonne,UDI
77306,Montereau-sur-le-Jard,NA
77307,Montévrain,UMP-LR
77308,Montgé-en-Goële,NA
77309,Monthyon,DVD
77310,Montigny-le-Guesdier,NA
77311,Montigny-Lencoup,UMP-LR
77312,Montigny-sur-Loing,UDI
77313,Montmachoux,NA
77314,Montolivet,NA
77315,Montry,DVG
77316,Moret-sur-Loing,UDI
77317,Mormant,DVD
77318,Mortcerf,DVD
77319,Mortery,NA
77320,Mouroux,DVD
77321,Mousseaux-lès-Bray,SE
77322,Moussy-le-Neuf,DVD
77323,Moussy-le-Vieux,DVG
77325,Mouy-sur-Seine,NA
77326,Nandy,PS
77327,Nangis,PCF
77328,Nanteau-sur-Essonne,NA
77329,Nanteau-sur-Lunain,NA
77330,Nanteuil-lès-Meaux,DVD
77331,Nanteuil-sur-Marne,NA
77332,Nantouillet,NA
77333,Nemours,UMP-LR
77335,Chauconin-Neufmontiers,FG
77336,Neufmoutiers-en-Brie,UMP-LR
77337,Noisiel,PS
77338,Noisy-Rudignon,NA
77339,Noisy-sur-Ecole,DVD
77340,Nonville,NA
77341,Noyen-sur-Seine,NA
77342,Obsonville,NA
77343,Ocquerre,NA
77344,Oissery,DVD
77345,Orly-sur-Morin,NA
77347,Les Ormes-sur-Voulzie,SE
77348,Ormesson,NA
77349,Othis,DVG
77350,Ozoir-la-Ferrière,UMP-LR
77352,Ozouer-le-Voulgis,SE
77353,Paley,NA
77354,Pamfou,DVG
77355,Paroy,NA
77356,Passy-sur-Seine,NA
77357,Pécy,SE
77358,Penchard,DVD
77359,Perthes,UMP-LR
77360,Pézarches,NA
77361,Pierre-Levée,NA
77363,Le Pin,DVD
77364,Le Plessis-aux-Bois,NA
77365,Le Plessis-Feu-Aussoux,NA
77366,Le Plessis-l'Evêque,NA
77367,Le Plessis-Placy,NA
77368,Poigny,NA
77369,Poincy,NA
77370,Poligny,NA
77371,Pommeuse,SE
77372,Pomponne,DVD
77373,Pontault-Combault,PS
77374,Pontcarré,PS
77376,Précy-sur-Marne,NA
77377,Presles-en-Brie,DVD
77378,Pringy,DVD
77379,Provins,UMP-LR
77380,Puisieux,NA
77381,Quiers,NA
77382,Quincy-Voisins,PCF
77383,Rampillon,NA
77384,Réau,DVD
77385,Rebais,SE
77386,Recloses,NA
77387,Remauville,NA
77388,Reuil-en-Brie,NA
77389,La Rochette,UDI
77390,Roissy-en-Brie,UMP-LR
77391,Rouilly,NA
77392,Rouvres,NA
77393,Rozay-en-Brie,UMP-LR
77394,Rubelles,DVG
77395,Rumont,NA
77396,Rupéreux,NA
77397,Saâcy-sur-Marne,DVD
77398,Sablonnières,NA
77399,Saint-Ange-le-Viel,NA
77400,Saint-Augustin,UMP-LR
77401,Sainte-Aulde,NA
77402,Saint-Barthélemy,NA
77403,Saint-Brice,NA
77404,Sainte-Colombe,SE
77405,Saint-Cyr-sur-Morin,DVG
77406,Saint-Denis-lès-Rebais,UMP-LR
77407,Saint-Fargeau-Ponthierry,UMP-LR
77408,Saint-Fiacre,NA
77409,Saint-Germain-Laval,DVG
77410,Saint-Germain-Laxis,NA
77411,Saint-Germain-sous-Doue,NA
77412,Saint-Germain-sur-Ecole,NA
77413,Saint-Germain-sur-Morin,DVD
77414,Saint-Hilliers,NA
77415,Saint-Jean-les-Deux-Jumeaux,DVD
77416,Saint-Just-en-Brie,NA
77417,Saint-Léger,NA
77418,Saint-Loup-de-Naud,NA
77419,Saint-Mammès,DVG
77420,Saint-Mard,UMP-LR
77421,Saint-Mars-Vieux-Maisons,NA
77423,Saint-Martin-des-Champs,NA
77424,Saint-Martin-du-Boschet,NA
77425,Saint-Martin-en-Bière,NA
77426,Saint-Méry,NA
77427,Saint-Mesmes,NA
77428,Saint-Ouen-en-Brie,PRG
77429,Saint-Ouen-sur-Morin,NA
77430,Saint-Pathus,DVG
77431,Saint-Pierre-lès-Nemours,DVD
77432,Saint-Rémy-la-Vanne,NA
77433,Saints,UMP-LR
77434,Saint-Sauveur-lès-Bray,NA
77435,Saint-Sauveur-sur-Ecole,DVD
77436,Saint-Siméon,NA
