code,name,party
77437,Saint-Soupplets,UMP-LR
77438,Saint-Thibault-des-Vignes,UMP-LR
77439,Salins,UDI
77440,Sammeron,DVG
77441,Samois-sur-Seine,UDI
77442,Samoreau,UMP-LR
77443,Sancy,NA
77444,Sancy-lès-Provins,NA
77445,Savigny-le-Temple,NA
77446,Savins,NA
77447,Seine-Port,UMP-LR
77448,Sept-Sorts,NA
77449,Serris,UDI
77450,Servon,PS
77451,Signy-Signets,NA
77452,Sigy,NA
77453,Sivry-Courtry,DVD
77454,Sognolles-en-Montois,NA
77455,Soignolles-en-Brie,DVG
77456,Soisy-Bouy,NA
77457,Solers,DVD
77458,Souppes-sur-Loing,NA
77459,Sourdun,DVD
77460,Tancrou,PS
77461,Thénisy,NA
77462,Thieux,NA
77463,Thomery,DVD
77464,Thorigny-sur-Marne,NA
77465,Thoury-Férottes,NA
77466,Tigeaux,NA
77467,La Tombe,NA
77468,Torcy,PS
77469,Touquin,DVD
77470,Tournan-en-Brie,PS
77471,Tousson,NA
77472,La Trétoire,NA
77473,Treuzy-Levelay,NA
77474,Trilbardou,NA
77475,Trilport,PS
77476,Trocy-en-Multien,NA
77477,Ury,NA
77478,Ussy-sur-Marne,NA
77479,Vaires-sur-Marne,UMP-LR
77480,Valence-en-Brie,NA
77481,Vanvillé,NA
77482,Varennes-sur-Seine,PCF
77483,Varreddes,DVD
77484,Vaucourtois,NA
77485,Le Vaudoué,DVD
77486,Vaudoy-en-Brie,NA
77487,Vaux-le-Pénil,DVG
77489,Vaux-sur-Lunain,NA
77490,Vendrest,SE
77491,Veneux-les-Sablons,PS
77492,Verdelot,NA
77493,Verneuil-l'Etang,PS
77494,Vernou-la-Celle-sur-Seine,DVG
77495,Vert-Saint-Denis,PS
77496,Vieux-Champagne,NA
77498,Vignely,NA
77500,Villebéon,NA
77501,Villecerf,NA
77504,Villemaréchal,NA
77505,Villemareuil,NA
77506,Villemer,NA
77507,Villenauxe-la-Petite,NA
77508,Villeneuve-le-Comte,DVD
77509,Villeneuve-les-Bordes,UMP-LR
77510,Villeneuve-Saint-Denis,DVD
77511,Villeneuve-sous-Dammartin,UMP-LR
77512,Villeneuve-sur-Bellot,UMP-LR
77513,Villenoy,DVG
77514,Villeparisis,UMP-LR
77515,Villeroy,PS
77516,Ville-Saint-Jacques,NA
77517,Villevaudé,UMP-LR
77518,Villiers-en-Bière,SE
77519,Villiers-Saint-Georges,UMP-LR
77520,Villiers-sous-Grez,NA
77521,Villiers-sur-Morin,DVD
77522,Villiers-sur-Seine,NA
77523,Villuis,NA
77524,Vimpelles,NA
77525,Vinantes,NA
77526,Vincy-Manoeuvre,NA
77527,Voinsles,PS
77528,Voisenon,UDI
77529,Voulangis,UMP-LR
77530,Voulton,NA
77531,Voulx,DVD
77532,Vulaines-lès-Provins,NA
77533,Vulaines-sur-Seine,DVD
77534,Yèbles,NA
78003,Ablis,DVG
78005,Achères,UMP-LR
78006,Adainville,SE
78007,Aigremont,UMP-LR
78009,Allainville,SE
78010,Les Alluets-le-Roi,NA
78013,Andelu,SE
78015,Andrésy,UMP-LR
78020,Arnouville-lès-Mantes,DVD
78029,Aubergenville,UMP-LR
78030,Auffargis,DVD
78031,Auffreville-Brasseuil,NA
78033,Aulnay-sur-Mauldre,DVD
78034,Auteuil-le-Roi,DVD
78036,Autouillet,DVD
78043,Bailly,UMP-LR
78048,Bazainville,NA
78049,Bazemont,NA
78050,Bazoches-sur-Guyonne,SE
78053,Béhoust,NA
78057,Bennecourt,DVG
78062,Beynes,DVD
78068,Blaru,PS
78070,Boinville-en-Mantois,NA
78071,Boinville-le-Gaillard,NA
78072,Boinvilliers,NA
78073,Bois-d'Arcy,UMP-LR
78076,Boissets,NA
78077,La Boissière-Ecole,NA
78082,Boissy-Mauvoisin,NA
78084,Boissy-sans-Avoir,NA
78087,Bonnelles,DVG
78089,Bonnières-sur-Seine,PS
78090,Bouafle,NA
78092,Bougival,DVD
78096,Bourdonné,NA
78104,Breuil-Bois-Robert,NA
78107,Bréval,NA
78108,Les Bréviaires,DVD
78113,Brueil-en-Vexin,NA
78117,Buc,UMP-LR
78118,Buchelay,UDI
78120,Bullion,NA
78123,Carrières-sous-Poissy,SE
78124,Carrières-sur-Seine,DVD
78125,La Celle-les-Bordes,NA
78126,La Celle-Saint-Cloud,UMP-LR
78128,Cernay-la-Ville,DVD
78133,Chambourcy,UMP-LR
78138,Chanteloup-les-Vignes,UMP-LR
78140,Chapet,SE
78143,Châteaufort,UMP-LR
78146,Chatou,UMP-LR
78147,Chaufour-lès-Bonnières,NA
78152,Chavenay,DVD
78158,Le Chesnay,DVD
78160,Chevreuse,UMP-LR
78162,Choisel,NA
78163,Civry-la-Forêt,NA
78164,Clairefontaine-en-Yvelines,NA
78165,Les Clayes-sous-Bois,UDI
78168,Coignières,DVD
78171,Condé-sur-Vesgre,DVD
78172,Conflans-Sainte-Honorine,UMP-LR
78185,Courgent,NA
78188,Cravent,NA
78189,Crespières,NA
78190,Croissy-sur-Seine,DVD
78192,Dammartin-en-Serve,DVG
78193,Dampierre-en-Yvelines,NA
78194,Dannemarie,NA
78196,Davron,NA
78202,Drocourt,DVD
78206,Ecquevilly,NA
78208,Elancourt,UMP-LR
78209,Emancé,NA
78217,Epône,UMP-LR
78220,Les Essarts-le-Roi,DVD
78224,L'Etang-la-Ville,UMP-LR
78227,Evecquemont,EELV
78230,La Falaise,SE
78231,Favrieux,NA
78233,Feucherolles,DVD
78234,Flacourt,NA
78236,Flexanville,NA
78237,Flins-Neuve-Eglise,NA
78238,Flins-sur-Seine,DVD
78239,Follainville-Dennemont,DVD
78242,Fontenay-le-Fleury,UMP-LR
78245,Fontenay-Mauvoisin,NA
78246,Fontenay-Saint-Père,NA
78251,Fourqueux,UMP-LR
78255,Freneuse,UMP-LR
78261,Gaillon-sur-Montcient,NA
78262,Galluis,DVD
78263,Gambais,DVD
78264,Gambaiseuil,NA
78265,Garancières,DVD
78267,Gargenville,UDI
78269,Gazeran,NA
78276,Gommecourt,SE
78278,Goupillières,NA
78281,Goussonville,NA
78283,Grandchamp,NA
78285,Gressey,NA
78289,Grosrouvre,NA
78290,Guernes,NA
78291,Guerville,DVD
78296,Guitrancourt,NA
78297,Guyancourt,PS
78299,Hardricourt,DVD
78300,Hargeville,NA
78302,La Hauteville,NA
78305,Herbeville,NA
78307,Hermeray,NA
78310,Houdan,UMP-LR
78311,Houilles,DVD
78314,Issou,DVG
78317,Jambville,NA
78320,Jeufosse,NA
78321,Jouars-Pontchartrain,UMP-LR
78322,Jouy-en-Josas,DVD
78324,Jouy-Mauvoisin,NA
78325,Jumeauville,NA
78327,Juziers,DVG
78329,Lainville-en-Vexin,SE
78334,Lévis-Saint-Nom,DVD
78335,Limay,PCF
78337,Limetz-Villez,DVD
78343,Les Loges-en-Josas,DVD
78344,Lommoye,NA
78346,Longnes,NA
78349,Longvilliers,NA
78350,Louveciennes,UMP-LR
78354,Magnanville,PCF
78356,Magny-les-Hameaux,PS
78358,Maisons-Laffitte,UMP-LR
78361,Mantes-la-Jolie,UMP-LR
78362,Mantes-la-Ville,FN
78364,Marcq,PRG
78366,Mareil-le-Guyon,NA
78367,Mareil-Marly,DVD
78368,Mareil-sur-Mauldre,SE
78372,Marly-le-Roi,UMP-LR
78380,Maule,UMP-LR
78381,Maulette,SE
78382,Maurecourt,PS
78383,Maurepas,UMP-LR
78384,Médan,DVD
78385,Ménerville,NA
78389,Méré,DVD
78391,Méricourt,MoDem
78396,Le Mesnil-le-Roi,UMP-LR
78397,Le Mesnil-Saint-Denis,UDI
78398,Les Mesnuls,NA
78401,Meulan-en-Yvelines,DVD
78402,Mézières-sur-Seine,DVD
78403,Mézy-sur-Seine,NA
78404,Millemont,NA
78406,Milon-la-Chapelle,NA
78407,Mittainville,NA
78410,Moisson,NA
78413,Mondreville,NA
78415,Montainville,NA
78416,Montalet-le-Bois,NA
78417,Montchauvet,SE
78418,Montesson,DVD
78420,Montfort-l'Amaury,UMP-LR
78423,Montigny-le-Bretonneux,UDI
78431,Morainvilliers,UMP-LR
78437,Mousseaux-sur-Seine,DVD
78439,Mulcent,NA
78440,Les Mureaux,PS
78442,Neauphle-le-Château,DVD
78443,Neauphle-le-Vieux,NA
78444,Neauphlette,NA
78451,Nézel,NA
78455,Noisy-le-Roi,UDI
78460,Oinville-sur-Montcient,NA
78464,Orcemont,NA
78465,Orgerus,NA
78466,Orgeval,UMP-LR
78470,Orphin,NA
78472,Orsonville,DVD
78474,Orvilliers,NA
78475,Osmoy,NA
78478,Paray-Douaville,NA
78481,Le Pecq,UMP-LR
78484,Perdreauville,NA
78486,Le Perray-en-Yvelines,PS
78490,Plaisir,UMP-LR
78497,Poigny-la-Forêt,NA
78498,Poissy,DVD
78499,Ponthévrard,NA
78501,Porcheville,DVD
78502,Le Port-Marly,UMP-LR
78503,Port-Villez,NA
78505,Prunay-le-Temple,NA
78506,Prunay-en-Yvelines,NA
78513,La Queue-les-Yvelines,NA
78516,Raizeux,NA
78517,Rambouillet,UMP-LR
78518,Rennemoulin,SE
78520,Richebourg,DVD
78522,Rochefort-en-Yvelines,NA
78524,Rocquencourt,UMP-LR
78528,Rolleboise,DVD
78530,Rosay,NA
78531,Rosny-sur-Seine,DVD
78536,Sailly,NA
78537,Saint-Arnoult-en-Yvelines,PS
78545,Saint-Cyr-l'Ecole,UMP-LR
78548,Saint-Forget,NA
78550,Saint-Germain-de-la-Grange,DVD
78551,Saint-Germain-en-Laye,UMP-LR
78557,Saint-Hilarion,NA
78558,Saint-Illiers-la-Ville,NA
78559,Saint-Illiers-le-Bois,NA
78561,Saint-Lambert,DVD
78562,Saint-Léger-en-Yvelines,DVD
78564,Saint-Martin-de-Bréthencourt,NA
78565,Saint-Martin-des-Champs,NA
78567,Saint-Martin-la-Garenne,SE
78569,Sainte-Mesme,NA
78571,Saint-Nom-la-Bretèche,DVD
78575,Saint-Rémy-lès-Chevreuse,DVD
78576,Saint-Rémy-l'Honoré,DVD
78586,Sartrouville,UMP-LR
78588,Saulx-Marchais,NA
78590,Senlisse,NA
78591,Septeuil,NA
78597,Soindres,NA
78601,Sonchamp,DVD
78605,Tacoignières,DVD
78606,Le Tartre-Gaudran,NA
78608,Le Tertre-Saint-Denis,NA
78609,Tessancourt-sur-Aubette,NA
78615,Thiverval-Grignon,NA
78616,Thoiry,DVD
78618,Tilly,NA
78620,Toussus-le-Noble,DVD
78621,Trappes,PS
78623,Le Tremblay-sur-Mauldre,NA
78624,Triel-sur-Seine,UMP-LR
78638,Vaux-sur-Seine,SE
78640,Vélizy-Villacoublay,UMP-LR
78642,Verneuil-sur-Seine,UMP-LR
78643,Vernouillet,UMP-LR
78644,La Verrière,PCF
78646,Versailles,DVD
78647,Vert,NA
78650,Le Vésinet,DVD
78653,Vicq,NA
78655,Vieille-Eglise-en-Yvelines,NA
78668,La Villeneuve-en-Chevrie,NA
78672,Villennes-sur-Seine,DVD
78674,Villepreux,UMP-LR
78677,Villette,NA
78681,Villiers-le-Mahieu,NA
78683,Villiers-Saint-Fréderic,DVD
78686,Viroflay,UMP-LR
78688,Voisins-le-Bretonneux,UDI
91001,Abbéville-la-Rivière,SE
91016,Angerville,SE
91017,Angervilliers,DVD
91021,Arpajon,PS
91022,Arrancourt,DVD
91035,Authon-la-Plaine,NA
91037,Auvernaux,NA
91038,Auvers-Saint-Georges,UMP-LR
91041,Avrainville,DVD
91044,Ballainvilliers,UDI
91045,Ballancourt-sur-Essonne,SE
91047,Baulne,DVD
91064,Bièvres,UMP-LR
91067,Blandy,NA
91069,Boigneville,UMP-LR
91075,Bois-Herpin,NA
91079,Boissy-la-Rivière,NA
91080,Boissy-le-Cutté,DVG
91081,Boissy-le-Sec,SE
91085,Boissy-sous-Saint-Yon,DVD
91086,Bondoufle,DVD
91093,Boullay-les-Troux,SE
91095,Bouray-sur-Juine,UDI
91097,Boussy-Saint-Antoine,PS
91098,Boutervilliers,NA
91099,Boutigny-sur-Essonne,DVD
91100,Bouville,NA
91103,Brétigny-sur-Orge,UDI
91105,Breuillet,UMP-LR
91106,Breux-Jouy,DVG
91109,Brières-les-Scellés,SE
91111,Briis-sous-Forges,PCF
91112,Brouy,NA
91114,Brunoy,UMP-LR
91115,Bruyères-le-Châtel,DVD
91121,Buno-Bonnevaux,SE
91122,Bures-sur-Yvette,MoDem
91129,Cerny,UDI
91130,Chalo-Saint-Mars,DVD
91131,Chalou-Moulineux,NA
91132,Chamarande,DVD
91135,Champcueil,DVG
91136,Champlan,DVD
91137,Champmotteux,UMP-LR
91145,Chatignonville,DVD
91148,Chauffour-lès-Etréchy,NA
91156,Cheptainville,NA
91159,Chevannes,DVD
91161,Chilly-Mazarin,UMP-LR
91174,Corbeil-Essonnes,UMP-LR
91175,Corbreuse,NA
91179,Le Coudray-Montceaux,UMP-LR
91180,Courances,DVD
91182,Courcouronnes,UMP-LR
91184,Courdimanche-sur-Essonne,NA
91186,Courson-Monteloup,NA
91191,Crosne,DVD
91195,Dannemois,SE
91198,D'Huison-Longueville,NA
91200,Dourdan,PS
91201,Draveil,UMP-LR
91204,Echarcon,NA
91207,Egly,DVD
91215,Epinay-sous-Sénart,DVD
91216,Epinay-sur-Orge,UMP-LR
91222,Estouches,NA
91223,Etampes,UMP-LR
91225,Etiolles,DVD
91226,Etréchy,DVD
91228,Evry,PS
91232,La Ferté-Alais,MoDem
91235,Fleury-Mérogis,PS
91240,Fontaine-la-Rivière,NA
91243,Fontenay-lès-Briis,DVD
91244,Fontenay-le-Vicomte,DVD
91247,La Forêt-le-Roi,NA
91248,La Forêt-Sainte-Croix,UMP-LR
91249,Forges-les-Bains,DVD
91272,Gif-sur-Yvette,UMP-LR
91273,Gironville-sur-Essonne,NA
91274,Gometz-la-Ville,DVD
91275,Gometz-le-Châtel,DVD
91284,Les Granges-le-Roi,DVD
91286,Grigny,PCF
91292,Guibeville,PS
91293,Guigneville-sur-Essonne,NA
91294,Guillerval,DVD
91312,Igny,UDI
91315,Itteville,DVD
91318,Janville-sur-Juine,NA
91319,Janvry,NA
91326,Juvisy-sur-Orge,UMP-LR
91330,Lardy,UDI
91332,Leudeville,DVD
91333,Leuville-sur-Orge,DVG
91338,Limours en Hurepoix,DVD
91339,Linas,UDI
91340,Lisses,DVD
91345,Longjumeau,UMP-LR
91347,Longpont-sur-Orge,UDI
91359,Maisse,UMP-LR
91363,Marcoussis,PS
91374,Marolles-en-Beauce,NA
91376,Marolles-en-Hurepoix,UDI
