code;unemployment rate
Vieux-Champagne (77496);7,4
Vignely (77498);5,0
Villebéon (77500);9,3
Villecerf (77501);8,6
Villemaréchal (77504);6,3
Villemareuil (77505);9,8
Villemer (77506);8,7
Villenauxe-la-Petite (77507);11,2
Villeneuve-le-Comte (77508);9,3
Villeneuve-les-Bordes (77509);10,9
Villeneuve-Saint-Denis (77510);5,4
Villeneuve-sous-Dammartin (77511);9,2
Villeneuve-sur-Bellot (77512);12,6
Villenoy (77513);8,4
Villeparisis (77514);11,6
Villeroy (77515);8,5
Ville-Saint-Jacques (77516);7,6
Villevaudé (77517);8,0
Villiers-en-Bière (77518);5,9
Villiers-Saint-Georges (77519);14,2
Villiers-sous-Grez (77520);4,3
Villiers-sur-Morin (77521);8,7
Villiers-sur-Seine (77522);13,4
Villuis (77523);7,3
Vimpelles (77524);12,1
Vinantes (77525);11,6
Vincy-Manœuvre (77526);5,1
Voinsles (77527);10,2
Voisenon (77528);5,0
Voulangis (77529);8,4
Voulton (77530);11,2
Voulx (77531);11,4
Vulaines-lès-Provins (77532);2,3
Vulaines-sur-Seine (77533);8,9
Yèbles (77534);6,2
Ablis (78003);7,0
Achères (78005);12,8
Adainville (78006);7,7
Aigremont (78007);7,4
Allainville (78009);10,7
Alluets-le-Roi (78010);7,5
Andelu (78013);6,2
Andrésy (78015);7,2
Arnouville-lès-Mantes (78020);6,8
Aubergenville (78029);13,4
Auffargis (78030);4,8
Auffreville-Brasseuil (78031);7,4
Aulnay-sur-Mauldre (78033);10,6
Auteuil (78034);3,3
Autouillet (78036);7,0
Bailly (78043);6,8
Bazainville (78048);4,4
Bazemont (78049);6,6
Bazoches-sur-Guyonne (78050);4,5
Béhoust (78053);5,3
Bennecourt (78057);8,7
Beynes (78062);6,5
Blaru (78068);10,6
Boinville-en-Mantois (78070);3,3
Boinville-le-Gaillard (78071);6,7
Boinvilliers (78072);7,0
Bois-d'Arcy (78073);6,4
Boissets (78076);8,9
Boissière-École (78077);9,0
Boissy-Mauvoisin (78082);11,6
Boissy-sans-Avoir (78084);5,3
Bonnelles (78087);7,5
Bonnières-sur-Seine (78089);14,9
Bouafle (78090);10,7
Bougival (78092);7,9
Bourdonné (78096);8,1
Breuil-Bois-Robert (78104);8,4
Bréval (78107);8,4
Bréviaires (78108);8,0
Brueil-en-Vexin (78113);8,4
Buc (78117);7,0
Buchelay (78118);12,8
Bullion (78120);4,1
Carrières-sous-Poissy (78123);13,5
Carrières-sur-Seine (78124);9,8
Celle-les-Bordes (78125);7,4
Celle-Saint-Cloud (78126);10,8
Cernay-la-Ville (78128);6,2
Chambourcy (78133);10,6
Chanteloup-les-Vignes (78138);19,6
Chapet (78140);6,8
Châteaufort (78143);6,4
Chatou (78146);8,1
Chaufour-lès-Bonnières (78147);8,8
Chavenay (78152);7,5
Chesnay (78158);8,0
Chevreuse (78160);6,5
Choisel (78162);12,0
Civry-la-Forêt (78163);8,5
Clairefontaine-en-Yvelines (78164);9,4
Clayes-sous-Bois (78165);9,5
Coignières (78168);11,9
Condé-sur-Vesgre (78171);8,5
Conflans-Sainte-Honorine (78172);8,9
Courgent (78185);5,1
