Geometry X Y;Geometry;AREA;PERIMETER;INSEE;ACT15_19;ACT20_24;ACT25_29;ACT30_34;ACT35_39;ACT40_44;ACT45_49;ACT50_54;ACT55_59;ACT60_64;ACT65PL
48.8535177269, 1.77344958213;"{""type"": ""Polygon"", ""coordinates"": [[[1.791551221585194, 48.85445247614626], [1.778035778876404, 48.83233633101913], [1.774881390637098, 48.83061217565842], [1.761028651460687, 48.84118182410277], [1.767199182827941, 48.84961223733174], [1.758446296323617, 48.85586331853844], [1.758486450520078, 48.86880444329624], [1.774719928001114, 48.87259961814317], [1.783715575518536, 48.86788626123204], [1.785226782235932, 48.85578003062278], [1.791551221585194, 48.85445247614626]]]}";7013603.75514;11876.602506;78681;7.06;20.17;29.25;45.38;73.62;49.42;37.32;33.28;45.38;8.07;2.02
48.8548314208, 1.64265454061;"{""type"": ""Polygon"", ""coordinates"": [[[1.659063018794659, 48.86723227497541], [1.655147228050163, 48.86451103121069], [1.660756107107083, 48.86002087449048], [1.649883043925558, 48.853867626174384], [1.655645759247609, 48.85102438509238], [1.65216933191639, 48.84520303974155], [1.647928821232448, 48.83854061756783], [1.641726286939492, 48.838808758906346], [1.623693436936637, 48.848895650829235], [1.632902026525723, 48.858719342488925], [1.62718853294533, 48.859871049381596], [1.642780903545418, 48.87058778208712], [1.659063018794659, 48.86723227497541]]]}";5667980.51636;10959.4745958;78474;8.84;30.95;27.63;29.84;46.42;54.16;47.53;44.21;27.63;4.42;1.11
48.8372500621, 1.69654821907;"{""type"": ""Polygon"", ""coordinates"": [[[1.701858841505586, 48.865661774990336], [1.716321626171682, 48.854733825587445], [1.719164524848148, 48.84858902280237], [1.708490846630306, 48.8316868232842], [1.713500161298984, 48.830877943880125], [1.713337930082837, 48.815579928122204], [1.702840402712501, 48.81226659949202], [1.70834901223863, 48.8062807480991], [1.704389109006841, 48.80184328728364], [1.697818649462744, 48.81099753959806], [1.692567665794988, 48.81062625389189], [1.677834175132121, 48.82097399031981], [1.677347322270627, 48.83200565433014], [1.679310954962044, 48.8380243503032], [1.670371564210956, 48.84429459930947], [1.698415133347918, 48.86845739119732], [1.701858841505586, 48.865661774990336]]]}";14682818.7511;18396.9393969;78465;25.81;67.89;80.94;90.8;136.53;188.0;186.49;159.04;134.44;16.06;11.09
48.8417944318, 3.32390433296;"{""type"": ""Polygon"", ""coordinates"": [[[3.354996447436664, 48.83839641574222], [3.350861104714778, 48.83871206450184], [3.343911500190522, 48.82923146128497], [3.348948611858101, 48.827747883847614], [3.347809999664716, 48.8213185787616], [3.328633076134393, 48.82333970975934], [3.308224963400076, 48.822373258705454], [3.309189613703833, 48.82852560231648], [3.293299529470396, 48.827427921976515], [3.288671272472699, 48.837548385548764], [3.297234823119321, 48.84924008003888], [3.307288156887507, 48.862330500952744], [3.321837778041727, 48.859174973084755], [3.3326404946081, 48.861608376070976], [3.333577855517248, 48.85533167044976], [3.340054795455286, 48.854816217571475], [3.359292251134913, 48.86511396317234], [3.361825988386952, 48.861062088531945], [3.351325250080831, 48.85412295938105], [3.354996447436664, 48.83839641574222]]]}";16434580.3887;19947.2032425;77030;9.96;40.85;56.79;46.82;56.79;40.85;50.81;63.76;29.89;2.99;1.0
48.8630480069, 2.3594369037;"{""type"": ""Polygon"", ""coordinates"": [[[2.363786370426746, 48.86746918938617], [2.368577101694527, 48.85573240663573], [2.350153725422161, 48.86199505440424], [2.35089011232106, 48.86336186091153], [2.354217887139856, 48.86925164252325], [2.363786370426746, 48.86746918938617]]]}";1073210.81889;4461.74949163;75103;178.45;1614.88;3923.22;3537.11;3283.41;2729.17;2053.99;1845.92;1582.05;996.98;424.76
48.854251819, 2.35748027938;"{""type"": ""Polygon"", ""coordinates"": [[[2.368577101694527, 48.85573240663573], [2.369215957312921, 48.853169291746134], [2.364442557566516, 48.84618319774893], [2.344605226569384, 48.854054988219964], [2.350153725422161, 48.86199505440424], [2.368577101694527, 48.85573240663573]]]}";1712202.48912;5332.38343524;75104;131.8;1376.51;2699.07;2303.22;2233.04;1791.33;1605.89;1525.34;1426.04;894.88;436.47
48.8483455855, 1.9836370314;"{""type"": ""Polygon"", ""coordinates"": [[[1.990593096770733, 48.859249576904325], [2.011340490606368, 48.85240413173855], [2.001096994857207, 48.84372332922117], [1.984685068667027, 48.839033542753775], [1.983662263498917, 48.83342783204822], [1.970043836681507, 48.83478774598252], [1.968518432692023, 48.83474685988934], [1.970771094911169, 48.841471778717896], [1.961319256732562, 48.85184581262175], [1.968911705922123, 48.86075549611245], [1.975290453793206, 48.85698988378864], [1.990593096770733, 48.859249576904325]]]}";6278756.72785;11015.9664554;78152;5.98;42.86;33.89;53.83;102.67;138.55;149.52;133.57;76.75;29.9;6.98
48.8513614382, 2.71257899427;"{""type"": ""Polygon"", ""coordinates"": [[[2.730779986343223, 48.85183763048446], [2.728781216865553, 48.84893981146504], [2.698614571924945, 48.84920131831091], [2.697315205395345, 48.85416949408776], [2.709730073773601, 48.854174566915866], [2.730779986343223, 48.85183763048446]]]}";1143427.89591;5605.87710738;77221;5.91;81.76;54.18;67.97;73.88;72.9;115.26;142.84;74.87;14.78;1.97
48.8386013738, 2.52393125403;"{""type"": ""Polygon"", ""coordinates"": [[[2.536581760804555, 48.838457634146714], [2.531886519293538, 48.8292571195706], [2.524850352912576, 48.82718259445425], [2.513596462136088, 48.8300063233099], [2.517725732134004, 48.83433438402192], [2.51142678926387, 48.84441611715726], [2.513668032705833, 48.850150075182476], [2.515566339415374, 48.85132517769515], [2.529378935265346, 48.84412799290609], [2.534515176056288, 48.845168298156686], [2.537786069181272, 48.84027585680647], [2.536581760804555, 48.838457634146714]]]}";3172042.73804;7660.96381684;94015;128.31;608.5;839.58;958.81;1098.2;1068.24;1128.41;1018.37;698.05;213.24;54.38
48.8290720847, 2.32718002188;"{""type"": ""Polygon"", ""coordinates"": [[[2.336524243025727, 48.839774798577466], [2.342014414735827, 48.838353809997166], [2.344354332767836, 48.8161685790182], [2.33194901771095, 48.817032064795846], [2.314230375671213, 48.822317717436945], [2.301440253652181, 48.825165207593535], [2.324561734749086, 48.84368602189333], [2.336524243025727, 48.839774798577466]]]}";5838607.58234;9888.62646837;75114;713.58;6929.15;13514.03;10869.06;8723.81;7758.13;7285.2;7097.37;6708.37;3358.28;1477.86
